pickup_hour,average_total_amount
0,25.52081484085212
1,24.69998831521739
2,24.013360086898796
3,23.945811608387462
4,25.058495820607618
5,24.899629614571477
6,22.8568748770024
7,23.858178094733294
8,24.79842092710637
9,23.714279274422868
10,23.653867652808547
11,24.20505330903499
12,24.373013005659715
13,24.64295354060893
14,24.7491461543061
15,25.209350602703907
16,26.06330513757469
17,25.996560012165233
18,25.321130322403363
19,24.861394256495633
20,24.752074612814116
21,25.764244869462793
22,26.067108914377705
23,25.696974624433928
